hex,flight,r,t,alt_baro,lat_rnd,lon_rnd,ICAOTypeCode,Manufacturer,OperatorFlagCode,RegisteredOwners,Type
a3ea68,XOJ351  ,N351VJ,CL30,ground,33.6,-116.2,CL35,Bombardier,XOJ,XO,Challenger 350
a58c34,N457AY  ,N457AY,CL30,ground,33.6,-111.9,CL35,Bombardier,CL35,Aix Fusion LLC,Challenger 350
aaffcd,HER1    ,N808CF,GLF4,ground,33.6,-111.9,GLF4,Gulfstream Aerospace,HER,Hera Flight,GIV
a41ef3,N365AV  ,N365AV,CL30,ground,33.6,-111.9,,---,,---,---
a1c9ea,EJM214  ,N214RW,CL30,ground,33.6,-111.9,CL35,Bombardier,EJM,Executive Jet Management,Challenger 350
a001af,01234567,N1TD,GLF4,ground,33.6,-111.9,GLF4,Gulfstream Aerospace,GLF4,Air 7,GIV
a3a578,N334JE  ,N334JE,CL30,ground,33.6,-111.9,CL30,Bombardier,EDG,Jet Edge,Challenger 300
a6eb12,LXJ545  ,N545FX,CL30,ground,33.6,-111.9,CL30,Bombardier,LXJ,Flexjet,Challenger 300
aa9963,EJA782  ,N782QS,CL30,ground,33.6,-111.9,CL35,Bombardier,EJA,NetJets,Challenger 350
a4a820,N4BZ    ,N4BZ,CL30,ground,33.6,-111.9,CL35,Bombardier,CL35,Bunker Hill Aviation LLC,Challenger 350
adbe40,N985FM  ,N985FM,CL30,ground,33.6,-111.9,CL30,Bombardier,PCL,Pinnacle Aviation,Challenger 300
a953b7,N70RL   ,N70RL,CL30,ground,33.6,-111.9,CL30,Bombardier,CL30,BS Aviation Holdings II LLC,Challenger 300
c0107a,HRT381  ,C-FGGF,CL30,ground,33.6,-111.9,CL30,Bombardier,HRT,Chartright Air,Challenger 300
a768a2,EJM145  ,N577CF,FA7X,ground,33.6,-111.9,FA7X,Dassault,EJM,Executive Jet Management,Falcon 7X
a36f24,N320JM  ,N320JM,GLF4,ground,33.6,-111.9,G450,Gulfstream Aerospace,G450,Blaise Carolina LLC,G450
a3f5a4,N354WG  ,N354WG,CL30,ground,33.6,-111.9,CL30,Bombardier,CL30,Automatic Press LLC,Challenger 300
a68371,LXJ519  ,N519FX,CL30,ground,33.6,-111.9,CL30,Bombardier,LXJ,Flexjet,Challenger 300
a01cab,N106TD  ,N106TD,GLF4,ground,33.6,-111.9,GLF4,Gulfstream Aerospace,GLF4,Bopper Airways LLC,GIV SP
a0001a,CXF1    ,N1AZ,FA7X,ground,33.6,-111.9,FA7X,Dassault,CXF,Arizona Cardinals,Falcon 7X
a4343a,N370EL  ,N370EL,CL30,ground,33.6,-111.9,CL30,Bombardier,PCL,Pinnacle Aviation,Challenger 300
a7acd6,LXJ594  ,N594FX,CL30,ground,33.6,-111.9,CL35,Bombardier,LXJ,Flexjet,Challenger 350
a2cd75,N28US   ,N28US,FA50,ground,33.6,-111.9,FA50,Dassault,FA50,FFLV F50 LLC,Falcon 50
aa6923,N770BC  ,N770BC,GLEX,ground,33.6,-111.9,GL6T,Bombardier,GL6T,Indigo Partners LLC,Global 6000
a15c44,N187SG  ,N187SG,GLF4,ground,33.6,-111.9,G450,Gulfstream Aerospace,G450,SGA Aviation LLC,G450
a2a74c,N270JH  ,N270JH,CL30,ground,33.6,-111.9,CL30,Bombardier,CL30,LCG Aviation LLC,Challenger 300
a0ca4b,N150BC  ,N150BC,FA7X,ground,33.6,-111.9,FA7X,Dassault,FA7X,BRC Transit LLC,Falcon 7X
a9a3c6,N720CH  ,N720CH,GLEX,ground,33.6,-111.9,,---,,---,---
a00035,N1CA    ,N1CA,CL30,ground,33.6,-111.9,CL30,Bombardier,PWA,Priester Aviation,Challenger 300
ac6bd0,N9PS    ,N9PS,GLEX,ground,33.6,-111.9,GL6T,Bombardier,GL6T,N9PS LLC,Global 6000
ab00ae,N808MF  ,N808MF,GLF4,ground,33.6,-111.9,GLF4,Gulfstream Aerospace,CLY,Clay Lacy Aviation Inc,GIV SP
a642e3,N502RP  ,N502RP,G280,ground,33.6,-86.8,G280,Gulfstream Aerospace,G280,Penske Jet Inc,G280
abaf1c,N852DL  ,N852DL,CL30,ground,33.6,-86.8,CL35,Bombardier,CL35,PNC Financial Services Group Inc,Challenger 350
a63b75,N500RP  ,N500RP,G280,ground,33.6,-86.8,G280,Gulfstream Aerospace,G280,Penske Jet Inc,G280
a36d8d,N32SF   ,N32SF,E35L,ground,33.6,-86.8,E35L,Embraer,PTF,Petroff Air,Legacy 600
a63b75,N500RP  ,N500RP,G280,ground,33.6,-86.7,G280,Gulfstream Aerospace,G280,Penske Jet Inc,G280
a36d8d,N32SF   ,N32SF,E35L,ground,33.6,-86.7,E35L,Embraer,PTF,Petroff Air,Legacy 600
a49d9b,N397JJ  ,N397JJ,GLF4,ground,33.6,-86.7,GLF4,Gulfstream Aerospace,GLF4,Avion LLC,GIV SP
aa8477,EJA777  ,N777QS,CL30,ground,33.6,-84.4,CL35,Bombardier,EJA,NetJets,Challenger 350
a192cd,FWK40   ,N200JB,CL30,ground,33.6,-84.4,CL35,Bombardier,FWK,FlightWorks Inc,Challenger 350
a732a2,LXJ563  ,N563FX,CL30,ground,33.7,-117.9,CL35,Bombardier,LXJ,Flexjet,Challenger 350
a6a739,LXJ528  ,N528FX,CL30,ground,33.7,-117.9,CL30,Bombardier,LXJ,Flexjet,Challenger 300
ada9d7,N98LT   ,N98LT,GLF4,ground,33.7,-117.9,GLF4,Gulfstream Aerospace,GLF4,98LT LLC,GIV SP
a35252,TWY313  ,N313DS,CL30,ground,33.7,-117.9,CL30,Bombardier,TWY,Solairus Aviation,Challenger 300
a1c13f,N212DD  ,N212DD,GLF6,ground,33.7,-117.9,G650,Gulfstream Aerospace,G650,Corporate,G650 ER
ac6bd0,N9PS    ,N9PS,GLEX,ground,33.7,-117.9,GL6T,Bombardier,GL6T,N9PS LLC,Global 6000
a21b34,N235BH  ,N235BH,GLF6,ground,33.7,-117.9,G650,Gulfstream Aerospace,G650,Hamilton Aviation Inc,G650
a66530,TBL1    ,N511AK,GLF4,ground,33.7,-117.9,,---,,---,---
a7dedf,N606PS00,N606PS,GLF4,ground,33.7,-117.9,GLF4,Gulfstream Aerospace,GLF4,Corporate,GIV SP
a7dedf,N606PS  ,N606PS,GLF4,ground,33.7,-117.9,GLF4,Gulfstream Aerospace,GLF4,Corporate,GIV SP
459257,MMD8077 ,OY-DRW,FA7X,ground,33.7,-117.9,,---,,---,---
a04838,N117WR  ,N117WR,GLF4,ground,33.7,-117.9,G350,Gulfstream Aerospace,G350,Whiskey Romeo Owner LLC,G350
ac6c2c,N9TJ    ,N9TJ,GLEX,ground,33.7,-117.9,GL6T,Bombardier,GL6T,Execjet II LLC,Global 6000
aad72c,EJA798  ,N798QS,CL30,ground,33.7,-117.9,CL35,Bombardier,EJA,NetJets,Challenger 350
a13060,        ,N176KH,GLF6,ground,33.7,-117.9,G650,Gulfstream Aerospace,G650,Global Transport Two LLC,G650 ER
a13060,N176KH  ,N176KH,GLF6,ground,33.7,-117.9,G650,Gulfstream Aerospace,G650,Global Transport Two LLC,G650 ER
a13060,00000000,N176KH,GLF6,ground,33.7,-117.9,G650,Gulfstream Aerospace,G650,Global Transport Two LLC,G650 ER
a39d4d,WSN332  ,N332AR,CL30,ground,33.7,-117.9,CL30,Bombardier,WSN,Advanced Air,Challenger 300
ad8539,N970SD  ,N970SD,F900,ground,33.7,-117.9,F9EX,Dassault,F9EX,Cirrus Aviation,Falcon 900EX EASy
aa6876,N77UF   ,N77UF,GLEX,ground,33.7,-117.9,GLEX,Bombardier,GLEX,F & L Aviation LLC,Global Express XRS
aa42f7,EJA760  ,N760QS,CL30,ground,33.7,-117.9,CL35,Bombardier,EJA,NetJets,Challenger 350
a569c4,N448QS  ,N448QS,GLF4,ground,33.7,-117.9,G450,Gulfstream Aerospace,EJM,Executive Jet Management,G450
a320d4,N300RL  ,N300RL,CL30,ground,33.7,-117.9,CL30,Bombardier,PCL,Pinnacle Aviation,Challenger 300
a00494,N10YU   ,N10YU,GLF4,ground,33.7,-117.9,GLF4,Gulfstream Aerospace,GLF4,Nutrawise Corp,GIV
a18e0b,HOB1    ,N2HL,CL30,ground,33.7,-112.1,CL35,Bombardier,HOB,Hobby Lobby Stores Inc,Challenger 350
aa8477,EJA777  ,N777QS,CL30,ground,33.7,-84.4,CL35,Bombardier,EJA,NetJets,Challenger 350
a192cd,FWK40   ,N200JB,CL30,ground,33.7,-84.4,CL35,Bombardier,FWK,FlightWorks Inc,Challenger 350
a642e3,N502RP  ,N502RP,G280,ground,33.8,-118.2,G280,Gulfstream Aerospace,G280,Penske Jet Inc,G280
aa9963,EJA782  ,N782QS,CL30,ground,33.8,-118.2,CL35,Bombardier,EJA,NetJets,Challenger 350
a4ead9,PEG650  ,N416EL,GLF4,ground,33.8,-118.2,G650,Gulfstream Aerospace,PEG,Pegasus Elite Aviation,G650 ER
a06035,N123Q   ,N123Q,CL30,ground,33.8,-118.2,CL35,Bombardier,CL35,Dorado Aviation LLC,Challenger 350
a5e739,N48KZ   ,N48KZ,F900,ground,33.8,-118.2,F900,Dassault,CLY,Clay Lacy Aviation Inc,Falcon 900 C
a642e3,N502RP  ,N502RP,G280,ground,33.8,-118.1,G280,Gulfstream Aerospace,G280,Penske Jet Inc,G280
aa9963,EJA782  ,N782QS,CL30,ground,33.8,-118.1,CL35,Bombardier,EJA,NetJets,Challenger 350
a06035,N123Q   ,N123Q,CL30,ground,33.8,-118.1,CL35,Bombardier,CL35,Dorado Aviation LLC,Challenger 350
a5e739,N48KZ   ,N48KZ,F900,ground,33.8,-118.1,F900,Dassault,CLY,Clay Lacy Aviation Inc,Falcon 900 C
ab394e,N822LL  ,N822LL,CL30,ground,33.8,-116.5,CL35,Bombardier,ELZ,Elite Air,Challenger 350
a3ea68,XOJ351  ,N351VJ,CL30,ground,33.8,-116.5,CL35,Bombardier,XOJ,XO,Challenger 350
ac6c2c,N9TJ    ,N9TJ,GLEX,ground,33.8,-116.5,GL6T,Bombardier,GL6T,Execjet II LLC,Global 6000
aa7f8c,N776CJ  ,N776CJ,CL30,ground,33.8,-116.5,CL30,Bombardier,JTL,Jet Linx Aviation,Challenger 300
a35dfc,N316K   ,N316K,CL30,ground,33.8,-116.5,CL35,Bombardier,CL35,Corporate Jet Leasing Company LLC,Challenger 350
a5766a,KPO451  ,N451GA,GLF4,ground,33.8,-116.5,GLF4,Gulfstream Aerospace,KPO,Wing Aviation Group,GIV SP
a73659,LXJ564  ,N564FX,CL30,ground,33.8,-116.5,CL35,Bombardier,LXJ,Flexjet,Challenger 350
a6fffe,LXJ550  ,N550FX,CL30,ground,33.8,-116.5,CL30,Bombardier,LXJ,Flexjet,Challenger 300
aca2be,N913KN  ,N913KN,G280,ground,33.8,-116.5,G280,Gulfstream Aerospace,G280,Black Knight Infoserv LLC,G280
a941b2,N696HC  ,N696HC,G280,ground,33.8,-116.5,G280,Gulfstream Aerospace,G280,Henry Crown & Company,G280
a814f2,N62LV   ,N62LV,GLEX,ground,33.8,-84.5,GL7T,Bombardier,GL7T,AMB Group LLC,Global 7500
aa423a,N760HC  ,N760HC,CL30,ground,33.8,-84.5,CL35,Bombardier,CL35,Holder Construction Group LLC,Challenger 350
a7f294,N611BF  ,N611BF,GLEX,ground,33.8,-84.5,GL6T,Bombardier,GL6T,AMB Group LLC,Global 6000
a0db63,N1540   ,N1540,G280,ground,33.8,-84.5,G280,Gulfstream Aerospace,G280,Cox Communications Inc,G280
ab502d,N828SK  ,N828SK,CL30,ground,33.8,-84.5,CL30,Bombardier,CL30,Jaztec LLC,Challenger 300
ac82e4,N905MT  ,N905MT,CL30,ground,33.8,-84.5,CL30,Bombardier,CL30,Metaltek Aviation GA LLC,Challenger 300
4d2089,VJT741  ,9H-VJE,GLEX,ground,33.9,-118.4,GL6T,Bombardier,VJT,VistaJet,Global 6000
a88e65,EDG65   ,N650TB,E35L,ground,33.9,-118.4,E35L,Embraer,EDG,Jet Edge,Legacy 650
a2cbf0,N28DC   ,N28DC,F900,ground,33.9,-118.4,F900,Dassault,TEX,Freedom Jets,Falcon 900 B
a95c9a,N702GH  ,N702GH,GLF4,ground,33.9,-118.4,GLF4,Gulfstream Aerospace,GLF4,Starjet Inc,GIV SP
a31c5a,N3TS    ,N3TS,GLEX,ground,33.9,-118.4,GL7T,Bombardier,JAS,Jet Aviation Flight Services,Global 7500
a491af,EJM159  ,N394AK,GLF4,ground,33.9,-118.4,GLF4,Gulfstream Aerospace,EJM,Executive Jet Management,GIV SP
aa9963,EJA782  ,N782QS,CL30,ground,33.9,-118.4,CL35,Bombardier,EJA,NetJets,Challenger 350
adbe40,N985FM  ,N985FM,CL30,ground,33.9,-118.4,CL30,Bombardier,PCL,Pinnacle Aviation,Challenger 300
aa8477,EJA777  ,N777QS,CL30,ground,33.9,-118.4,CL35,Bombardier,EJA,NetJets,Challenger 350
a39d4d,WSN332  ,N332AR,CL30,ground,33.9,-118.4,CL30,Bombardier,WSN,Advanced Air,Challenger 300
a6fffe,LXJ550  ,N550FX,CL30,ground,33.9,-118.4,CL30,Bombardier,LXJ,Flexjet,Challenger 300
a9c6e7,N729VS  ,N729VS,GLEX,ground,33.9,-118.4,GL7T,Bombardier,GL7T,MP Air Inc,Global 7500
a6982f,N524EA  ,N524EA,GLF6,ground,33.9,-118.4,G650,Gulfstream Aerospace,G650,Falstaff Partners LLC,G650 ER
a6982f,        ,N524EA,GLF6,ground,33.9,-118.4,G650,Gulfstream Aerospace,G650,Falstaff Partners LLC,G650 ER
a4a8fa,N4LS    ,N4LS,CL30,ground,33.9,-118.4,,---,,---,---
aa6e2d,EJA771  ,N771QS,CL30,ground,33.9,-118.4,CL35,Bombardier,EJA,NetJets,Challenger 350
a576c4,WWI111  ,N451KR,GLF4,ground,33.9,-118.4,GLF4,Gulfstream Aerospace,WWI,Worldwide Jet Charter,GIV SP
a093bd,LXJ1361 ,N136ZC,GLF6,ground,33.9,-118.4,G650,Gulfstream Aerospace,LXJ,Flexjet,G650
a6b59e,N531RC  ,N531RC,G280,ground,33.9,-118.4,G280,Gulfstream Aerospace,G280,Henry Crown & Company,G280
3c4cb6,IFA561  ,D-ACEV,GLEX,ground,33.9,-118.4,GLEX,Bombardier,IFA,FAI Rent-a-Jet AG,Global Express
3c4cb6,ANON    ,D-ACEV,GLEX,ground,33.9,-118.4,GLEX,Bombardier,IFA,FAI Rent-a-Jet AG,Global Express
a23047,N240CX  ,N240CX,GLF6,ground,33.9,-118.4,G650,Gulfstream Aerospace,G650,Onex Partners Advisor Group Inc,G650
a0a7d6,EJA141  ,N141QS,GLEX,ground,33.9,-118.4,GL6T,Bombardier,EJA,NetJets,Global 6000
a75dd8,LXJ574  ,N574FX,CL30,ground,33.9,-118.4,CL35,Bombardier,LXJ,Flexjet,Challenger 350
addfed,EJM216  ,N993XZ,FA7X,ground,33.9,-118.4,FA7X,Dassault,EJM,Executive Jet Management,Falcon 7X
a77706,N580ML  ,N580ML,E35L,ground,33.9,-118.4,E35L,Embraer,E35L,Aircraft Services Group,Legacy 600
a63722,N5VJ    ,N5VJ,F900,ground,33.9,-118.4,F9EX,Dassault,GAJ,Gama Aviation Signature,Falcon 900EX
a5a19c,LXJ462  ,N462FX,GLF4,ground,33.9,-118.4,G450,Gulfstream Aerospace,LXJ,Flexjet,G450
a0326c,N1111G  ,N1111G,GLEX,ground,33.9,-118.4,GL7T,Bombardier,RKS,Phenix Jet,Global 7500
aa9244,N780TW  ,N780TW,GLF6,ground,33.9,-118.4,G650,Gulfstream Aerospace,G650,IBM Corp,G650 ER
a13e9d,EJM18   ,N18CZ,GLEX,ground,33.9,-118.4,GL6T,Bombardier,EJM,Executive Jet Management,Global 6000
a33a50,TWY25   ,N307LC,FA7X,ground,33.9,-118.4,FA7X,Dassault,TWY,Solairus Aviation,Falcon 7X
adf1e7,N998RW  ,N998RW,FA7X,ground,33.9,-118.4,FA7X,Dassault,JTL,Jet Linx Aviation,Falcon 7X
a968b4,N705SC  ,N705SC,CL30,ground,33.9,-118.4,,---,,---,---
a39d4d,WSN332  ,N332AR,CL30,ground,33.9,-118.3,CL30,Bombardier,WSN,Advanced Air,Challenger 300
a2e51d,WSN286  ,N286JR,CL30,ground,33.9,-118.3,CL30,Bombardier,WSN,Advanced Air,Challenger 300
a71295,N555GA  ,N555GA,GLF6,ground,33.9,-81.1,G650,Gulfstream Aerospace,G650,Hill Air Corp,G650 ER
a3e607,N350NP  ,N350NP,CL30,ground,33.9,-81.1,CL35,Bombardier,NUS,N-Jet,Challenger 350
a64cd3,N505DE  ,N505DE,FA50,ground,34.0,-118.5,F5EX,Dassault,F5EX,Paul T Marinelli Trustee,Falcon 50EX
a39d4d,WSN332  ,N332AR,CL30,ground,34.0,-118.4,CL30,Bombardier,WSN,Advanced Air,Challenger 300
a64cd3,N505DE  ,N505DE,FA50,ground,34.0,-118.4,F5EX,Dassault,F5EX,Paul T Marinelli Trustee,Falcon 50EX
a5f536,N483RA  ,N483RA,GLF4,ground,34.0,-117.6,GLF4,Gulfstream Aerospace,GLF4,Threshold Aviation Group,GIV
acce1b,N924MB  ,N924MB,GLF4,ground,34.0,-117.6,GLF4,Gulfstream Aerospace,GLF4,Starjet Inc,GIV
a3d17b,N345SK  ,N345SK,F900,ground,34.0,-84.6,F900,Dassault,F900,SBK Capital LLC,Falcon 900 B
aabbfc,N791CP  ,N791CP,FA50,ground,34.0,-84.6,FA50,Dassault,FA50,Grayton Leasing LLC,Falcon 50
ab00ae,N808MF  ,N808MF,GLF4,ground,34.2,-119.1,GLF4,Gulfstream Aerospace,CLY,Clay Lacy Aviation Inc,GIV SP
a6fffe,LXJ550  ,N550FX,CL30,ground,34.2,-119.1,CL30,Bombardier,LXJ,Flexjet,Challenger 300
ab0a46,N810KJ  ,N810KJ,GLEX,ground,34.2,-119.1,GL7T,Bombardier,TWY,Solairus Aviation,Global 7500
a95514,N700FJ  ,N700FJ,GLF4,ground,34.2,-119.1,GLF4,Gulfstream Aerospace,JPT,Prime Jet,GIV SP
a7bf10,N599CH  ,N599CH,GLEX,ground,34.2,-119.1,GL6T,Bombardier,GL6T,Avwest P/L,Global 6000
a500fe,N421SZ  ,N421SZ,GLEX,ground,34.2,-119.1,GL7T,Bombardier,GL7T,Gex Leasing Corp,Global 7500
a23f37,N244DS  ,N244DS,GLF6,ground,34.2,-119.1,G650,Gulfstream Aerospace,G650,DS Aviation LLC,G650 ER
a03ed3,N115AN  ,N115AN,CL30,ground,34.2,-119.1,CL30,Bombardier,CL30,Dornoch Leasing LLC,Challenger 300
0aa001,X8PASD  ,8P-ASD,GLF6,ground,34.2,-119.1,G650,Gulfstream Aerospace,G650,Grupo Santo Domingo,G650 ER
aa26b3,N753RP  ,N753RP,CL30,ground,34.2,-119.1,CL30,Bombardier,CL30,Cirrus Aviation,Challenger 300
aa8be5,EJA779  ,N779QS,CL30,ground,34.2,-119.1,CL35,Bombardier,EJA,NetJets,Challenger 350
a16b24,N1904W  ,N1904W,GLF4,ground,34.2,-118.5,GLF4,Gulfstream Aerospace,PVA,Planet Nine Private Air,GIV SP
a96c47,EJA706  ,N706QS,CL30,ground,34.2,-118.5,CL35,Bombardier,EJA,NetJets,Challenger 350
a81ed7,JTZ622  ,N622N,CL30,ground,34.2,-118.5,CL30,Bombardier,JTZ,Nicholas Air,Challenger 300
ada9d7,N98LT   ,N98LT,GLF4,ground,34.2,-118.5,GLF4,Gulfstream Aerospace,GLF4,98LT LLC,GIV SP
a1316e,N176WC  ,N176WC,CL30,ground,34.2,-118.5,CL35,Bombardier,CL35,Washington Corp,Challenger 350
a41487,N362JE  ,N362JE,CL30,ground,34.2,-118.5,CL30,Bombardier,EDG,Jet Edge,Challenger 300
aadf09,EDG8    ,N8VC,GLF4,ground,34.2,-118.5,G450,Gulfstream Aerospace,EDG,Jet Edge,G450
a950b2,N7JP    ,N7JP,GLF6,ground,34.2,-118.5,G650,Gulfstream Aerospace,G650,Corporate,G650
a3278d,N302JE  ,N302JE,CL30,ground,34.2,-118.5,CL30,Bombardier,EDG,Jet Edge,Challenger 300
ac3f7d,N889CG  ,N889CG,GLF4,ground,34.2,-118.5,GLF4,Gulfstream Aerospace,JPT,Prime Jet,GIV SP
a7bf69,LXJ599  ,N599FX,CL30,ground,34.2,-118.5,CL35,Bombardier,LXJ,Flexjet,Challenger 350
a4a848,N4DPN4BP,N4DP,GLF4,ground,34.2,-118.5,GLF4,Gulfstream Aerospace,GLF4,Green Chair Productions Inc,GIV
a2005a,EDG28   ,N228SS,GLEX,ground,34.2,-118.5,GLEX,Bombardier,EDG,Jet Edge,Global Express
a3a578,N334JE  ,N334JE,CL30,ground,34.2,-118.5,CL30,Bombardier,EDG,Jet Edge,Challenger 300
abd419,N861RV  ,N861RV,CL30,ground,34.2,-118.5,CL30,Bombardier,CL30,Lexit Aircraft Holdings LLC,Challenger 300
a9b78e,EJA725  ,N725QS,CL30,ground,34.2,-118.5,CL35,Bombardier,EJA,NetJets,Challenger 350
a768a2,EJM145  ,N577CF,FA7X,ground,34.2,-118.5,FA7X,Dassault,EJM,Executive Jet Management,Falcon 7X
a01cab,N106TD  ,N106TD,GLF4,ground,34.2,-118.5,GLF4,Gulfstream Aerospace,GLF4,Bopper Airways LLC,GIV SP
a2cd75,N28US   ,N28US,FA50,ground,34.2,-118.5,FA50,Dassault,FA50,FFLV F50 LLC,Falcon 50
ad8539,N970SD  ,N970SD,F900,ground,34.2,-118.5,F9EX,Dassault,F9EX,Cirrus Aviation,Falcon 900EX EASy
aa42f7,EJA760  ,N760QS,CL30,ground,34.2,-118.5,CL35,Bombardier,EJA,NetJets,Challenger 350
a5e739,N48KZ   ,N48KZ,F900,ground,34.2,-118.5,F900,Dassault,CLY,Clay Lacy Aviation Inc,Falcon 900 C
a5766a,KPO451  ,N451GA,GLF4,ground,34.2,-118.5,GLF4,Gulfstream Aerospace,KPO,Wing Aviation Group,GIV SP
a73659,LXJ564  ,N564FX,CL30,ground,34.2,-118.5,CL35,Bombardier,LXJ,Flexjet,Challenger 350
a576c4,WWI111  ,N451KR,GLF4,ground,34.2,-118.5,GLF4,Gulfstream Aerospace,WWI,Worldwide Jet Charter,GIV SP
a64cd3,N505DE  ,N505DE,FA50,ground,34.2,-118.5,F5EX,Dassault,F5EX,Paul T Marinelli Trustee,Falcon 50EX
a5f536,N483RA  ,N483RA,GLF4,ground,34.2,-118.5,GLF4,Gulfstream Aerospace,GLF4,Threshold Aviation Group,GIV
acce1b,N924MB  ,N924MB,GLF4,ground,34.2,-118.5,GLF4,Gulfstream Aerospace,GLF4,Starjet Inc,GIV
ab0a46,N810KJ  ,N810KJ,GLEX,ground,34.2,-118.5,GL7T,Bombardier,TWY,Solairus Aviation,Global 7500
aa26b3,N753RP  ,N753RP,CL30,ground,34.2,-118.5,CL30,Bombardier,CL30,Cirrus Aviation,Challenger 300
aa8be5,EJA779  ,N779QS,CL30,ground,34.2,-118.5,CL35,Bombardier,EJA,NetJets,Challenger 350
a2dd33,N284DS  ,N284DS,GLEX,ground,34.2,-118.5,GL6T,Bombardier,GL6T,Corporate,Global 6000
aa4cfa,N763DB  ,N763DB,GLF4,ground,34.2,-118.5,GLF4,Gulfstream Aerospace,GLF4,Trans-Exec Air Service Inc,GIV
a88ebf,N650WS  ,N650WS,GLF6,ground,34.2,-118.5,G650,Gulfstream Aerospace,G650,Corporate,G650 ER
aa5f64,N768BL  ,N768BL,CL30,ground,34.2,-118.5,CL35,Bombardier,CL35,Trinity Property Group II LLC,Challenger 350
a0fe42,EJA163  ,N163QS,GLEX,ground,34.2,-118.5,GL6T,Bombardier,EJA,NetJets,Global 6000
a912de,N684JC  ,N684JC,GLF4,ground,34.2,-118.5,GLF4,Gulfstream Aerospace,TFF,Talon Air,GIV SP
a327cc,SIS302  ,N302LT,CL30,ground,34.2,-118.5,CL30,Bombardier,SIS,Silver Air,Challenger 300
a327a4,N302KC  ,N302KC,CL30,ground,34.2,-118.5,CL30,Bombardier,CL30,Kroger Company,Challenger 300
ad2062,EDG45   ,N945GS,GLF4,ground,34.2,-118.5,GLF4,Gulfstream Aerospace,EDG,Jet Edge,GIV SP
adf413,KFB999  ,N999AA,GLF4,ground,34.2,-118.5,GLF4,Gulfstream Aerospace,KFB,STAjets,GIV SP
a00c4a,N102BQ  ,N102BQ,GLF4,ground,34.2,-118.5,,---,,---,---
a95c57,TWY702  ,N702DR,GLEX,ground,34.2,-118.5,GLEX,Bombardier,TWY,Solairus Aviation,Global Express XRS
a00cef,EDG48   ,N102JE,GLF4,ground,34.2,-118.5,GLF4,Gulfstream Aerospace,EDG,Jet Edge,GIV SP
a2cba6,TWY84   ,N28AD,GLF4,ground,34.2,-118.5,G450,Gulfstream Aerospace,TWY,Solairus Aviation,G450
aa6a76,EJA770  ,N770QS,CL30,ground,34.2,-118.5,CL35,Bombardier,EJA,NetJets,Challenger 350
a31fc6,N300ER  ,N300ER,CL30,ground,34.2,-118.5,CL30,Bombardier,XSR,Executive AirShare,Challenger 300
a72598,N56LN   ,N56LN,FA50,ground,34.2,-118.5,FA50,Dassault,FA50,Century Jets,Falcon 50
a78116,N583AJ  ,N583AJ,GLF4,ground,34.2,-118.5,GLF4,Gulfstream Aerospace,KFB,STAjets,GIV
a78116,KFB583  ,N583AJ,GLF4,ground,34.2,-118.5,GLF4,Gulfstream Aerospace,KFB,STAjets,GIV
a14000,KFB18   ,N18TD,GLF4,ground,34.2,-118.5,GLF4,Gulfstream Aerospace,KFB,STAjets,GIV
a0fc23,N1625   ,N1625,GLF4,ground,34.2,-118.5,GLF4,Gulfstream Aerospace,CLY,Clay Lacy Aviation Inc,GIV SP
ac1fe2,N880X   ,N880X,GLEX,ground,34.2,-118.5,GL6T,Bombardier,GL6T,Pratt Aviation P/L,Global 6000
a89c29,LXJ654  ,N654FX,GLF6,ground,34.2,-118.5,,---,,---,---
a7b1aa,N595TG  ,N595TG,GLF6,ground,34.2,-118.5,G650,Gulfstream Aerospace,G650,Platinum Equity LLC,G650
a35ebc,N316SS  ,N316SS,F900,ground,34.2,-118.5,F900,Dassault,F900,Century Jets,Falcon 900
a6fe60,PEG55   ,N55PJ,GLF4,ground,34.2,-118.5,GLF4,Gulfstream Aerospace,PEG,Pegasus Elite Aviation,GIV
a97088,KPO707  ,N707WE,GLF4,ground,34.2,-118.5,GLF4,Gulfstream Aerospace,KPO,Wing Aviation Group,GIV SP
a9848a,TWY21   ,N712LW,GLF4,ground,34.2,-118.5,G400,Gulfstream Aerospace,TWY,Solairus Aviation,G400
ac3dcd,N888ZA  ,N888ZA,F900,ground,34.2,-118.5,F9EX,Dassault,CLY,Clay Lacy Aviation Inc,Falcon 900EX EASy
a0f340,N160SB  ,N160SB,CL30,ground,34.2,-118.5,CL30,Bombardier,CL30,Medical Center Development LLC,Challenger 300
a7c583,KFB60   ,N60GG,GLF4,ground,34.2,-118.5,GLF4,Gulfstream Aerospace,KFB,STAjets,GIV SP
a88dbb,N650LG  ,N650LG,GLF4,ground,34.2,-118.5,G450,Gulfstream Aerospace,G450,Leonard Green & Partners LP,G450
a7b7fb,LXJ597  ,N597FX,CL30,ground,34.2,-118.5,CL35,Bombardier,LXJ,Flexjet,Challenger 350
acd941,N927MC  ,N927MC,GLF6,ground,34.2,-118.5,G650,Gulfstream Aerospace,NEW,Northeastern Aviation,G650
a1d821,N218KF  ,N218KF,CL30,ground,34.2,-118.5,CL30,Bombardier,CL30,KW Flight LLC,Challenger 300
aa69f9,70KS70KS,N770KS,GLF4,ground,34.2,-118.5,GLF4,Gulfstream Aerospace,EDG,Jet Edge,GIV
ad4521,N954SP  ,N954SP,GLEX,ground,34.2,-118.5,GLEX,Bombardier,CLY,Clay Lacy Aviation Inc,Global Express
